"Municipio","Total"
"Hermosillo","31259"
"Cajeme","14825"
"San Luis Rio Colorado","11140"
"Nogales","9274"
"Navojoa","3539"
"Guaymas","3056"
"Agua Prieta","2183"
"Puerto Peñasco","2110"
"Caborca","1796"
"Etchojoa","1053"
"Huatabampo","1041"
"Empalme","905"
"Cananea","448"
"Magdalena","405"
"Bacum","335"
"Benito Juarez","264"
"Imuris","157"
"Santa Ana","144"
"San Ignacio Rio Muerto","89"
"Alamos","75"
"San Miguel de Horcasitas","57"
"Altar","43"
"Benjamin Hill","38"
"Plutarco Elias Calles","35"
"Naco","34"
"Pitiquito","31"
"Yecora","28"
"Nacozari de Garcia","22"
"Ures","18"
"Opodepe","14"
"Carbo","14"
"Fronteras","13"
"Rosario","12"
"Cumpas","7"
"Mazatan","5"
"Sahuaripa","5"
"Trincheras","5"
"Santa Cruz","5"
"Villa Pesqueira","3"
"Moctezuma","3"
"Banamichi","3"
"Bacerac","2"
"Cucurpe","2"
"La Colorada","2"
"Quiriego","2"
"Rayon","1"
"San Javier","1"
"Saric","1"
"Soyopa","1"
"Tubutama","1"
"San Pedro de la Cueva","1"
"Nacori Chico","1"
"Aconchi","1"
"Arizpe","1"
"Bacanora","1"